time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-18T17:40:39.075Z,9.4211,126.0036,35,4.9,mb,,81,8.699,1.04,us,us70004nax,2019-07-19T01:43:06.634Z,"8km NE of Carrascal, Philippines",earthquake,5.6,1.9,0.069,65,reviewed,us,us
2019-07-18T17:39:12.927Z,9.3106,125.7822,24.17,4.8,mb,,89,2.235,1.2,us,us70004nap,2019-07-18T18:15:58.686Z,"16km SW of Adlay, Philippines",earthquake,7.4,5.6,0.071,61,reviewed,us,us
2019-07-18T17:17:51.181Z,0.279,126.3185,30.56,5.3,mww,,31,1.156,1,us,us70004na1,2019-07-18T17:35:09.040Z,"129km WSW of Kota Ternate, Indonesia",earthquake,6.8,4.8,0.066,22,reviewed,us,us
2019-07-18T17:08:21.851Z,0.2226,126.3278,37.3,4.8,mb,,96,1.173,1.21,us,us70004n9v,2019-07-18T23:27:34.040Z,"131km WSW of Kota Ternate, Indonesia",earthquake,8.7,7.8,0.083,45,reviewed,us,us
2019-07-18T16:43:37.020Z,35.9271667,-117.6846667,2.53,2.59,ml,33,38,0.03467,0.16,ci,ci38597815,2019-07-18T16:54:12.620Z,"20km E of Little Lake, CA",earthquake,0.18,0.4,0.164,26,automatic,ci,ci
2019-07-18T16:24:25.229Z,14.7831,-92.2476,87.36,5,mb,,131,0.593,1.03,us,us70004n85,2019-07-18T23:38:52.737Z,"8km W of Frontera Hidalgo, Mexico",earthquake,6.3,3.6,0.032,308,reviewed,us,us
2019-07-18T15:49:04.590Z,35.7025,-117.5251667,8.95,2.64,ml,38,51,0.0879,0.18,ci,ci38597535,2019-07-18T15:59:47.230Z,"13km WSW of Searles Valley, CA",earthquake,0.23,0.57,0.21,25,automatic,ci,ci
2019-07-18T14:28:43.720Z,35.7869987,-117.6021652,4.28,2.47,ml,46,53,0.02893,0.17,ci,ci38597079,2019-07-18T14:39:15.360Z,"18km W of Searles Valley, CA",earthquake,0.19,0.49,0.264,22,automatic,ci,ci
2019-07-18T14:20:58.700Z,35.6606667,-117.4816667,5.16,2.74,ml,33,64,0.07569,0.12,ci,ci38597047,2019-07-18T16:55:57.781Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.64,0.118,25,automatic,ci,ci
2019-07-18T14:20:52.020Z,36.0635,-117.8511667,1.51,2.53,ml,17,147,0.05405,0.23,ci,ci38597039,2019-07-18T14:24:50.186Z,"9km ENE of Coso Junction, CA",earthquake,0.47,0.37,0.406,14,automatic,ci,ci
2019-07-18T13:40:57.793Z,53.3234,-163.6205,27.18,3.7,mb,,209,1.515,1.28,us,us70004n1z,2019-07-18T15:38:34.040Z,"168km ESE of Akutan, Alaska",earthquake,8.9,15.3,0.13,15,reviewed,us,us
2019-07-18T12:46:16.430Z,-6.1888,155.1328,152.68,4.7,mb,,98,3.561,0.54,us,us70004n0u,2019-07-18T13:15:02.040Z,"41km WNW of Panguna, Papua New Guinea",earthquake,10.2,8.7,0.068,66,reviewed,us,us
2019-07-18T12:45:40.481Z,52.3166,159.6254,51.61,4.7,mb,,114,0.924,0.91,us,us70004n0v,2019-07-18T21:12:53.225Z,"104km SE of Petropavlovsk-Kamchatskiy, Russia",earthquake,8.2,7.3,0.033,281,reviewed,us,us
2019-07-18T12:17:17.240Z,19.326,-155.1251667,-0.27,2.47,ml,57,186,0.05855,0.17,hv,hv71051017,2019-07-18T20:50:21.760Z,"16km SE of Volcano, Hawaii",earthquake,0.39,0.14,0.219,30,reviewed,hv,hv
2019-07-18T12:02:35.630Z,19.3355,-155.1231667,6.35,2.54,ml,54,182,0.04915,0.11,hv,hv71050997,2019-07-18T20:38:01.930Z,"16km SE of Volcano, Hawaii",earthquake,0.33,0.32,0.156,38,reviewed,hv,hv
2019-07-18T11:51:51.270Z,18.3266,-68.5533,123,2.5,md,7,145,1.0756,0.2,pr,pr2019199002,2019-07-18T16:54:37.213Z,"8km SE of Boca de Yuma, Dominican Republic",earthquake,2.009,1.22,0.29,6,reviewed,pr,pr
2019-07-18T11:17:47.870Z,35.9908333,-117.33,2.63,2.7,ml,35,55,0.1066,0.19,ci,ci38596007,2019-07-18T11:47:42.414Z,"26km N of Trona, CA",earthquake,0.26,0.69,0.092,26,automatic,ci,ci
2019-07-18T10:05:18.120Z,40.2976667,-124.5028333,19.97,2.96,md,30,261,0.1229,0.12,nc,nc73227481,2019-07-18T18:49:03.253Z,"19km W of Petrolia, CA",earthquake,1.06,0.32,0.146,62,reviewed,nc,nc
2019-07-18T09:57:16.730Z,35.5605,-117.3863333,2,2.6,ml,34,48,0.03968,0.25,ci,ci38595599,2019-07-18T10:07:51.070Z,"23km S of Trona, CA",earthquake,0.3,0.46,0.17,26,automatic,ci,ci
2019-07-18T09:34:53.690Z,19.02,-66.0595,50,2.64,md,5,333,0.9673,0.3,pr,pr2019199001,2019-07-18T11:43:52.683Z,"61km N of San Juan, Puerto Rico",earthquake,4.55,8.63,0.02,3,reviewed,pr,pr
2019-07-18T09:15:14.830Z,19.2563333,-155.4743333,10.53,2.74,ml,66,69,0.0246,0.13,hv,hv71050887,2019-07-18T20:11:19.740Z,"5km N of Pahala, Hawaii",earthquake,0.19,0.3,0.135,33,reviewed,hv,hv
2019-07-18T09:13:49.637Z,46.3365,153.0733,20.05,4.7,mb,,158,7.41,0.67,us,us70004myh,2019-07-18T09:48:39.040Z,"Kuril Islands",earthquake,10.4,6.6,0.035,246,reviewed,us,us
2019-07-18T08:57:13.155Z,-27.895,-66.8025,166.96,4.2,mb,,69,2.322,0.73,us,us70004mxx,2019-07-18T09:45:59.654Z,"35km SE of Belen, Argentina",earthquake,10.6,13,0.216,6,reviewed,us,us
2019-07-18T08:52:07.282Z,46.2799,153.3775,10,5.1,mww,,177,7.343,1.22,us,us70004mxv,2019-07-18T09:10:03.040Z,"Kuril Islands",earthquake,10.9,1.9,0.071,19,reviewed,us,us
2019-07-18T08:48:28.080Z,35.8950005,-117.7273331,1.95,2.61,ml,46,36,0.09124,0.17,ci,ci38595231,2019-07-18T08:59:04.730Z,"17km ESE of Little Lake, CA",earthquake,0.19,0.36,0.248,24,automatic,ci,ci
2019-07-18T08:22:02.620Z,36.1075,-117.8916667,4.13,3.05,ml,51,58,0.03146,0.17,ci,ci38595071,2019-07-19T06:09:11.040Z,"9km NE of Coso Junction, CA",earthquake,0.15,0.35,0.133,75,reviewed,ci,ci
2019-07-18T07:44:58.270Z,36.0811667,-117.8665,1.3,2.8,ml,34,55,0.03754,0.19,ci,ci38594839,2019-07-18T07:56:13.120Z,"8km ENE of Coso Junction, CA",earthquake,0.28,0.49,0.279,25,automatic,ci,ci
2019-07-18T07:42:59.270Z,13.0827,80.2707,1.3,2.8,ml,34,55,0.03754,0.19,ci,ci38594839,2019-07-18T07:56:13.120Z,"8km ENE of Coso Junction, CA",earthquake,0.28,0.49,0.279,25,automatic,ci,ci
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-19T06:03:58.146Z,61.682,-151.4995,94.5,2.9,ml,,,,0.57,ak,ak01996v2rzt,2019-07-19T06:15:38.942Z,"77km W of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-19T05:42:50.885Z,-24.6443,-179.8864,537.76,4.5,mb,,137,7.129,1.41,us,us70004npv,2019-07-19T06:04:34.040Z,"South of the Fiji Islands",earthquake,14.1,10.5,0.08,46,reviewed,us,us
2019-07-19T05:39:52.905Z,5.3173,124.8038,373.36,4.5,mb,,100,1.904,0.63,us,us70004npi,2019-07-19T06:01:43.040Z,"62km SSW of Daliao, Philippines",earthquake,9.6,8.6,0.086,39,reviewed,us,us
2019-07-19T05:19:40.568Z,35.6188,140.1909,10,3.6,ml,,168,1.824,0.4,us,us70004npp,2019-07-19T06:44:53.797Z,"4km SSE of Yotsukaido, Japan",earthquake,6.8,2,0.097,14,reviewed,us,us
2019-07-19T04:11:06.900Z,35.8968333,-117.6845,2.5,2.52,ml,30,38,0.058,0.15,ci,ci38601175,2019-07-19T04:21:55.240Z,"20km ESE of Little Lake, CA",earthquake,0.16,0.3,0.145,25,automatic,ci,ci
2019-07-19T02:52:13.590Z,36.1238327,-117.8280029,2.86,3.28,ml,48,51,0.02262,0.18,ci,ci38600815,2019-07-19T03:03:11.770Z,"14km NE of Coso Junction, CA",earthquake,0.22,0.52,0.249,24,automatic,ci,ci
2019-07-19T02:36:48.010Z,35.8741667,-117.697,7.5,2.58,ml,33,48,0.0856,0.16,ci,ci38600727,2019-07-19T02:48:01.630Z,"20km ESE of Little Lake, CA",earthquake,0.2,0.7,0.235,25,automatic,ci,ci
2019-07-19T02:33:34.080Z,35.8,-117.6225,7.25,2.47,ml,26,55,0.02568,0.2,ci,ci38600703,2019-07-19T02:37:22.559Z,"20km W of Searles Valley, CA",earthquake,0.28,0.77,0.316,26,automatic,ci,ci
2019-07-19T02:05:12.470Z,35.7803333,-117.6221667,9.83,2.48,ml,34,60,0.04062,0.16,ci,ci38600551,2019-07-19T02:15:58.770Z,"18km NNE of Ridgecrest, CA",earthquake,0.2,0.51,0.153,25,automatic,ci,ci
2019-07-19T01:36:05.820Z,19.2465,-64.9206,35,2.86,md,9,339,1.4426,0.35,pr,pr2019200000,2019-07-19T05:42:57.135Z,"98km NNW of Road Town, British Virgin Islands",earthquake,3.74,24.16,0.37,8,reviewed,pr,pr
2019-07-19T01:33:45.180Z,35.9724,31.0785,73.6,4.4,mb,,124,1.221,0.99,us,us70004nlq,2019-07-19T01:53:11.040Z,"76km SE of Tekirova, Turkey",earthquake,6,9.7,0.126,18,reviewed,us,us
2019-07-19T01:18:24.384Z,-20.8423,-67.2812,189.56,4.9,mb,,27,1.888,1.01,us,us70004nll,2019-07-19T01:37:04.040Z,"63km SW of Uyuni, Bolivia",earthquake,7.6,6.9,0.028,402,reviewed,us,us
2019-07-19T00:57:28.870Z,33.3126678,-116.2549973,10.41,3.31,ml,105,21,0.09494,0.22,ci,ci38600223,2019-07-19T06:15:58.223Z,"13km ENE of Borrego Springs, CA",earthquake,0.21,0.54,0.226,16,automatic,ci,ci
2019-07-19T00:42:57.981Z,61.4852,-150.0242,23.4,3.1,ml,,,,0.82,ak,ak01996rqjc6,2019-07-19T05:33:57.745Z,"3km E of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-19T00:26:23.968Z,58.5377,-151.1639,51,2.7,ml,,,,0.6,ak,ak01996rn0yj,2019-07-19T00:44:49.040Z,"93km NE of Kodiak, Alaska",earthquake,,3.5,,,automatic,ak,ak
2019-07-19T00:22:34.080Z,35.8431667,-117.667,0.12,2.64,ml,33,50,0.06275,0.29,ci,ci38600031,2019-07-19T00:33:18.070Z,"24km ESE of Little Lake, CA",earthquake,0.29,31.61,0.154,25,automatic,ci,ci
2019-07-19T00:19:25.110Z,35.9141655,-117.4355011,0.56,3.04,ml,44,40,0.1257,0.15,ci,ci38600023,2019-07-19T06:30:01.372Z,"17km N of Searles Valley, CA",earthquake,0.18,0.41,0.212,25,automatic,ci,ci
2019-07-19T00:11:14.810Z,19.3763,-67.8451,61,2.69,md,15,215,1.0572,0.37,pr,pr2019200001,2019-07-19T04:48:53.040Z,"103km NE of Punta Cana, Dominican Republic",earthquake,2.97,7.22,0.31,14,reviewed,pr,pr
2019-07-19T00:01:10.260Z,35.6498337,-117.4670029,0.98,2.96,ml,52,39,0.06332,0.15,ci,ci38599935,2019-07-19T00:22:17.130Z,"14km SSW of Searles Valley, CA",earthquake,0.18,0.42,0.213,23,automatic,ci,ci
2019-07-18T23:54:32.440Z,36.1113333,-117.8316667,2.07,2.74,ml,29,47,0.01979,0.17,ci,ci38599911,2019-07-19T00:05:48.940Z,"13km NE of Coso Junction, CA",earthquake,0.21,0.34,0.158,25,automatic,ci,ci
2019-07-18T21:46:37.720Z,35.7859993,-117.6241684,5.51,3.61,mlr,51,52,0.03675,0.19,ci,ci38599327,2019-07-19T05:00:46.656Z,"19km NNE of Ridgecrest, CA",earthquake,0.19,0.61,0.229,15,automatic,ci,ci
2019-07-18T21:32:51.830Z,18.263,-68.9853,92,3.11,md,17,174,0.9528,0.27,pr,pr2019199004,2019-07-18T22:20:05.040Z,"43km S of La Romana, Dominican Republic",earthquake,1.75,2.23,0.44,16,reviewed,pr,pr
