time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-03T10:32:50.371Z,60.2757,-151.6365,58.1,2.8,ml,,,,0.47,ak,ak019bb0coca,2019-09-03T10:54:28.578Z,"20km WSW of Cohoe, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-09-03T10:10:14.466Z,-8.8838,-76.2029,120.77,4.8,mb,,108,3.147,0.88,us,us70005ben,2019-09-03T16:24:31.451Z,"49km NNW of Tingo Maria, Peru",earthquake,6.9,4.6,0.029,371,reviewed,us,us
2019-09-03T09:57:00.570Z,19.1103,-64.314,40,2.98,md,10,340,2.0275,0.26,pr,pr2019246005,2019-09-03T11:42:29.717Z,"83km NNE of Road Town, British Virgin Islands",earthquake,2.9,18.4,0.14,9,reviewed,pr,pr
2019-09-03T09:18:18.964Z,68.556,-147.633,0,2.6,ml,,,,0.92,ak,ak019bazo662,2019-09-03T09:31:16.580Z,"98km WNW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-03T08:23:33.250Z,36.199,-117.885,2.54,2.59,ml,34,61,0.08483,0.21,ci,ci39038160,2019-09-03T08:34:40.240Z,"14km SE of Olancha, CA",earthquake,0.32,1.83,0.177,24,automatic,ci,ci
2019-09-03T07:34:33.480Z,18.7696,-67.4365,8,2.45,md,10,286,0.3875,0.21,pr,pr2019246003,2019-09-03T11:40:57.501Z,"47km NW of San Antonio, Puerto Rico",earthquake,1.69,1.77,0.34,8,reviewed,pr,pr
2019-09-03T07:33:16.356Z,60.3309,-147.0991,7.3,2.5,ml,,,,0.67,ak,ak019baykinv,2019-09-03T08:22:44.040Z,"77km WSW of Cordova, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-03T07:30:41.615Z,-18.5169,-132.8715,30.09,4.9,mb,,64,15.904,0.4,us,us70005bdi,2019-09-03T08:09:45.040Z,"South Pacific Ocean",earthquake,13.2,4.2,0.031,332,reviewed,us,us
2019-09-03T05:39:28.337Z,55.0479,-159.373,16.91,4.7,mb,,102,0.25,1.11,us,us70005bct,2019-09-03T17:03:17.534Z,"31km NNE of Chernabura Island, Alaska",earthquake,6.4,5.5,0.032,286,reviewed,us,us
2019-09-03T04:30:17.440Z,62.1378,-152.0866,106.6,2.6,ml,,,,0.48,ak,ak019bawrkp6,2019-09-03T04:34:53.038Z,"104km W of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-09-03T04:09:57.725Z,43.8221,-128.9515,10,3.1,ml,,254,3.499,0.55,us,us70005bcd,2019-09-03T23:37:43.040Z,"Off the coast of Oregon",earthquake,3.6,2,0.052,48,reviewed,us,us
2019-09-03T03:41:29.170Z,35.703,-117.5886667,7.1,3.47,mw,48,40,0.08234,0.13,ci,ci39037688,2019-09-04T03:43:18.800Z,"12km NE of Ridgecrest, CA",earthquake,0.11,0.31,,6,reviewed,ci,ci
