Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-18 18:00:00, TS, -4.80,  80.40, 20.0, 1007.0,reunion,   1.324,   3.564,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-19 00:00:00, TS, -5.70,  79.20, 20.0, 1007.0,reunion,   1.324,   3.564,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-19 06:00:00, TS, -6.80,  78.30, 23.0, 1006.0,reunion,  11.272,   5.366,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-19 12:00:00, TS, -8.00,  77.30, 25.0, 1004.0,reunion,  15.982,  11.136,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-19 18:00:00, TS, -9.10,  76.10, 25.0, 1004.0,reunion,  15.982,  11.136,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-20 00:00:00, TS, -9.80,  74.40, 25.0, 1003.0,reunion,  15.982,  14.525,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-20 06:00:00, TS, -9.90,  72.90, 30.0, 1000.0,reunion,  34.099,  24.256,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-20 12:00:00, TS, -9.70,  72.10, 35.0,  998.0,reunion,  43.016,  35.955,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-20 18:00:00, TS, -9.80,  71.80, 35.0,  998.0,reunion,  43.016,  35.955,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-21 00:00:00, TS,-10.00,  71.50, 37.0,  997.0,reunion,  56.026,  39.463,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-21 06:00:00, TS,-10.30,  71.40, 40.0,  995.0,reunion,  58.121,  47.424,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-21 12:00:00, TS,-10.70,  71.40, 42.0,  994.0,reunion,  62.888,  51.123,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-21 18:00:00, TS,-11.10,  71.50, 42.0,  994.0,reunion,  62.888,  51.123,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-22 00:00:00, TS,-11.50,  71.60, 45.0,  992.0,reunion,  67.127,  53.480,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-22 06:00:00, TS,-12.00,  71.80, 45.0,  992.0,reunion,  67.127,  53.480,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-22 12:00:00, TS,-12.60,  72.00, 45.0,  991.0,reunion,  67.127,  56.743,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-22 18:00:00, TS,-13.70,  72.80, 47.0,  989.0,reunion,  71.204,  64.037,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-23 00:00:00, TS,-14.20,  73.70, 50.0,  987.0,reunion,  71.991,  66.283,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-23 06:00:00, TS,-15.00,  75.00, 55.0,  983.0,reunion,  78.464,  74.236,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-23 12:00:00, TS,-16.50,  76.50, 55.0,  983.0,reunion,  78.464,  74.236,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-23 18:00:00, TS,-17.90,  77.70, 50.0,  987.0,reunion,  71.991,  66.283,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-24 00:00:00, ET,-19.10,  78.70, 47.0,  989.0,reunion,  71.204,  64.037,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-24 06:00:00, ET,-20.60,  80.20, 45.0,  991.0,reunion,  67.127,  56.743,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-24 12:00:00, ET,-22.70,  81.30, 43.0,  992.0,reunion,  63.424,  53.480,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-24 18:00:00, ET,-23.80,  81.20, 40.0,  994.0,reunion,  58.121,  51.123,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-25 00:00:00, ET,-24.30,  81.40, 35.0,  997.0,reunion,  43.016,  39.463,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-25 06:00:00, TS,-24.80,  81.40, 30.0, 1000.0,reunion,  34.099,  24.256,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-25 12:00:00, TS,-25.00,  81.50, 30.0, 1001.0,reunion,  34.099,  22.541,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-25 18:00:00, TS,-24.90,  81.50, 28.0, 1005.0,reunion,  29.048,   7.802,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-26 00:00:00, TS,-24.90,  81.30, 28.0, 1006.0,reunion,  29.048,   5.366,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-26 06:00:00, TS,-25.00,  80.60, 27.0, 1007.0,reunion,  27.010,   3.564,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-26 12:00:00, TS,-24.60,  80.00, 27.0, 1008.0,reunion,  27.010,   2.095,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-26 18:00:00, TS,-24.00,  79.30, 25.0, 1009.0,reunion,  15.982,   1.381,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-27 00:00:00, TS,-23.70,  78.60, 25.0, 1010.0,reunion,  15.982,   0.603,main
2015323S05080,2016,01, SI, MM,ANNABELLE,2015-11-27 06:00:00, TS,-23.50,  77.80, 25.0, 1011.0,reunion,  15.982,   0.421,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-26 12:00:00, NR,-10.20, 178.00, 20.0,-9999.0,nadi,   3.728,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-26 15:00:00, NR,-10.30, 178.00, 20.0,-9999.0,nadi,   3.728,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-26 18:00:00, NR,-10.70,-179.90, 25.0, 1001.0,nadi,   8.805,   8.883,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-26 21:00:00, NR,-10.90,-178.70, 25.0,-9999.0,nadi,   8.805,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-27 00:00:00, NR,-11.20,-178.20, 25.0, 1001.0,nadi,   8.805,   8.883,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-27 01:30:00, NR,-12.10,-176.30, 25.0,-9999.0,nadi,   8.805,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-27 06:00:00, NR,-11.50,-177.50, 25.0,  999.0,nadi,   8.805,  14.637,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-27 12:00:00, NR,-12.50,-176.00, 25.0,  999.0,nadi,   8.805,  14.637,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-27 15:00:00, NR,-12.80,-175.70, 30.0,-9999.0,nadi,  17.816,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-27 18:00:00, NR,-13.40,-175.30, 30.0,  997.0,nadi,  17.816,  21.927,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-27 21:00:00, NR,-13.90,-174.90, 30.0,  997.0,nadi,  17.816,  21.927,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-28 00:00:00, NR,-14.20,-174.50, 30.0,  996.0,nadi,  17.816,  27.849,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-28 03:00:00, NR,-14.30,-174.20, 30.0,-9999.0,nadi,  17.816,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-28 06:00:00, NR,-14.60,-173.70, 35.0,  995.0,nadi,  29.410,  29.749,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-28 12:00:00, NR,-14.60,-173.70, 40.0,  993.0,nadi,  39.771,  38.045,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-28 15:00:00, NR,-14.90,-173.30, 40.0,-9999.0,nadi,  39.771,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-28 18:00:00, NR,-15.50,-172.60, 40.0,  993.0,nadi,  39.771,  38.045,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-28 21:00:00, NR,-16.10,-171.60, 40.0,-9999.0,nadi,  39.771,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-29 00:00:00, NR,-16.60,-171.00, 40.0,-9999.0,nadi,  39.771,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-29 06:00:00, NR,-17.00,-170.40, 40.0,-9999.0,nadi,  39.771,-100.000,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-29 09:00:00, NR,-17.30,-169.80, 40.0,  992.0,nadi,  39.771,  39.078,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-29 18:00:00, NR,-17.60,-169.40, 40.0,  993.0,nadi,  39.771,  38.045,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-29 21:00:00, NR,-17.90,-168.80, 35.0,  995.0,nadi,  29.410,  29.749,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-30 00:00:00, NR,-18.10,-168.40, 35.0,  995.0,nadi,  29.410,  29.749,main
2015330S10178,2016,03, SP, MM,TUNI,2015-11-30 03:00:00, NR,-18.30,-168.00, 30.0,-9999.0,nadi,  17.816,-100.000,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-07 18:00:00, TS, -8.60,  78.60, 20.0, 1007.0,reunion,   1.324,   3.564,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-08 00:00:00, TS, -9.40,  76.90, 20.0, 1007.0,reunion,   1.324,   3.564,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-08 06:00:00, TS,-10.50,  75.60, 25.0, 1006.0,reunion,  15.982,   5.366,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-08 12:00:00, TS,-10.70,  74.00, 25.0, 1005.0,reunion,  15.982,   7.802,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-08 18:00:00, TS,-11.00,  73.10, 25.0, 1004.0,reunion,  15.982,  11.136,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-09 00:00:00, TS,-11.50,  72.70, 25.0, 1003.0,reunion,  15.982,  14.525,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-09 06:00:00, TS,-12.10,  72.50, 27.0, 1002.0,reunion,  27.010,  17.851,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-09 12:00:00, TS,-12.90,  72.30, 27.0, 1001.0,reunion,  27.010,  22.541,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-09 18:00:00, TS,-13.60,  72.00, 27.0, 1001.0,reunion,  27.010,  22.541,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-10 00:00:00, TS,-14.00,  71.40, 28.0, 1000.0,reunion,  29.048,  24.256,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-10 06:00:00, TS,-14.30,  70.50, 30.0,  999.0,reunion,  34.099,  33.630,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-10 12:00:00, TS,-14.90,  70.10, 30.0,  998.0,reunion,  34.099,  35.955,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-10 18:00:00, TS,-15.40,  69.80, 30.0,  998.0,reunion,  34.099,  35.955,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-11 00:00:00, TS,-15.90,  69.50, 30.0,  998.0,reunion,  34.099,  35.955,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-11 06:00:00, TS,-16.30,  69.20, 30.0,  998.0,reunion,  34.099,  35.955,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-11 12:00:00, TS,-16.70,  68.70, 30.0,  998.0,reunion,  34.099,  35.955,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-11 18:00:00, TS,-17.30,  68.30, 30.0,  997.0,reunion,  34.099,  39.463,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-12 00:00:00, TS,-18.10,  68.20, 35.0,  995.0,reunion,  43.016,  47.424,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-12 06:00:00, TS,-18.90,  68.00, 35.0,  995.0,reunion,  43.016,  47.424,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-12 12:00:00, TS,-19.70,  67.70, 35.0,  996.0,reunion,  43.016,  46.004,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-12 18:00:00, ET,-20.50,  67.50, 35.0,  996.0,reunion,  43.016,  46.004,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-13 00:00:00, ET,-21.20,  67.20, 35.0,  997.0,reunion,  43.016,  39.463,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-13 06:00:00, ET,-22.30,  66.70, 35.0,  998.0,reunion,  43.016,  35.955,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-13 12:00:00, ET,-23.50,  66.20, 35.0,  999.0,reunion,  43.016,  33.630,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-13 18:00:00, ET,-24.40,  65.80, 33.0, 1000.0,reunion,  41.887,  24.256,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-14 00:00:00, ET,-24.80,  65.70, 33.0, 1000.0,reunion,  41.887,  24.256,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-14 06:00:00, TS,-25.70,  65.80, 32.0, 1002.0,reunion,  41.416,  17.851,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-14 12:00:00, TS,-26.50,  65.70, 30.0, 1003.0,reunion,  34.099,  14.525,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-14 18:00:00, TS,-27.00,  65.50, 27.0, 1004.0,reunion,  27.010,  11.136,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-15 00:00:00, TS,-27.10,  65.40, 27.0, 1005.0,reunion,  27.010,   7.802,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-15 06:00:00, TS,-27.30,  65.30, 25.0, 1007.0,reunion,  15.982,   3.564,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-15 12:00:00, TS,-27.70,  65.30, 25.0, 1008.0,reunion,  15.982,   2.095,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-15 18:00:00, TS,-28.20,  65.40, 20.0, 1010.0,reunion,   1.324,   0.603,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-16 00:00:00, TS,-28.70,  65.70, 20.0, 1011.0,reunion,   1.324,   0.421,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-16 06:00:00, TS,-29.50,  66.60, 20.0, 1011.0,reunion,   1.324,   0.421,main
2015342S09079,2016,02, SI, MM,BOHALE,2015-12-16 12:00:00, TS,-30.40,  68.00, 20.0, 1012.0,reunion,   1.324,   0.190,main
2015355S16136,2016,04, SP, EA,NONAME,2015-12-21 03:00:00, NR,-15.60, 136.00, 15.0, 1005.0,bom,   0.169,   2.686,main
2015355S16136,2016,04, SP, EA,NONAME,2015-12-21 06:00:00, NR,-15.60, 135.70, 15.0, 1003.0,bom,   0.169,   7.732,main
2015355S16136,2016,04, SP, EA,NONAME,2015-12-21 09:00:00, NR,-15.60, 136.00, 15.0, 1003.0,bom,   0.169,   7.732,main
2015355S16136,2016,04, SP, EA,NONAME,2015-12-21 12:00:00, NR,-15.80, 136.20, 15.0, 1003.0,bom,   0.169,   7.732,main
2015355S16136,2016,04, SP, EA,NONAME,2015-12-21 15:00:00, NR,-16.40, 136.20, 15.0, 1007.0,bom,   0.169,   0.828,main
2015355S16136,2016,04, SP, EA,NONAME,2015-12-21 18:00:00, NR,-16.30, 135.60, 15.0, 1005.0,bom,   0.169,   2.686,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-21 21:00:00, NR,-16.00, 134.80, 15.0, 1005.0,bom,   0.169,   2.686,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-22 00:00:00, NR,-16.00, 133.80, 10.0, 1007.0,bom,   0.000,   0.828,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-22 03:00:00, NR,-16.00, 132.90, 10.0, 1005.0,bom,   0.000,   2.686,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-22 06:00:00, NR,-16.00, 132.70, 10.0, 1002.0,bom,   0.000,  10.454,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-22 09:00:00, NR,-15.50, 132.20, 10.0, 1002.0,bom,   0.000,  10.454,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-22 12:00:00, NR,-15.50, 132.30, 10.0, 1003.0,bom,   0.000,   7.732,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-22 15:00:00, NR,-15.50, 132.30, 10.0, 1003.0,bom,   0.000,   7.732,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-22 18:00:00, NR,-15.50, 132.40, 10.0, 1001.0,bom,   0.000,  14.336,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-22 21:00:00, NR,-14.80, 132.20, 10.0, 1002.0,bom,   0.000,  10.454,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-23 00:00:00, NR,-14.30, 131.80, 10.0, 1003.0,bom,   0.000,   7.732,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-23 03:00:00, NR,-14.00, 131.70, 10.0, 1001.0,bom,   0.000,  14.336,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-23 06:00:00, NR,-13.60, 131.50, 10.0,  998.0,bom,   0.000,  25.937,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-23 09:00:00, NR,-13.50, 131.40, 10.0,  999.0,bom,   0.000,  23.042,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-23 12:00:00, NR,-13.30, 131.20, 10.0, 1001.0,bom,   0.000,  14.336,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-23 15:00:00, NR,-13.10, 131.10, 10.0,  997.0,bom,   0.000,  31.234,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-23 18:00:00, NR,-12.50, 131.20, 10.0,  996.0,bom,   0.000,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-23 21:00:00, NR,-12.50, 131.40, 30.0,  997.0,bom,  25.808,  31.234,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-24 00:00:00, NR,-12.60, 131.70, 30.0,  999.0,bom,  25.808,  23.042,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-24 03:00:00, NR,-13.00, 132.10, 25.0,  998.0,bom,   8.811,  25.937,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-24 06:00:00, NR,-13.40, 132.30, 25.0,  995.0,bom,   8.811,  37.697,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-24 09:00:00, NR,-13.80, 132.30, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-24 12:00:00, NR,-14.00, 132.00, 25.0,  997.0,bom,   8.811,  31.234,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-24 15:00:00, NR,-14.10, 131.20, 25.0,  997.0,bom,   8.811,  31.234,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-24 18:00:00, NR,-14.00, 131.10, 25.0,  994.0,bom,   8.811,  43.442,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-24 21:00:00, NR,-14.20, 131.00, 25.0,  994.0,bom,   8.811,  43.442,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-25 00:00:00, NR,-14.30, 131.00, 25.0,  995.0,bom,   8.811,  37.697,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-25 03:00:00, NR,-13.90, 131.20, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-25 06:00:00, NR,-13.90, 131.50, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-25 09:00:00, NR,-14.10, 131.90, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-25 12:00:00, NR,-14.10, 132.30, 25.0,  997.0,bom,   8.811,  31.234,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-25 15:00:00, NR,-14.40, 132.30, 25.0,  999.0,bom,   8.811,  23.042,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-25 18:00:00, NR,-14.60, 132.50, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-25 21:00:00, NR,-14.70, 132.60, 25.0,  997.0,bom,   8.811,  31.234,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-26 00:00:00, NR,-14.70, 132.70, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-26 03:00:00, NR,-14.80, 133.10, 25.0,  997.0,bom,   8.811,  31.234,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-26 06:00:00, NR,-15.10, 133.30, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-26 09:00:00, NR,-15.20, 133.30, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-26 12:00:00, NR,-15.30, 133.50, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-26 15:00:00, NR,-15.40, 133.80, 25.0,  997.0,bom,   8.811,  31.234,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-26 18:00:00, NR,-15.40, 134.00, 25.0,  996.0,bom,   8.811,  34.220,main
2015355S16136,2016,04, SI, WA,NONAME,2015-12-26 21:00:00, NR,-15.50, 134.20, 15.0,  998.0,bom,   0.169,  25.937,main
